,input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
11,An Indian farmer making food  for other protesters during the protest against new farm laws at Sant Nirankari Ground in Delhi on Saturday. Copyright Photo By Shaurya Yadav.  #FarmersProtest #farmersagitation #FarmBill2020 #FarmLaws #FarmersProtestDelhi2020 #kisanandolan #farmer . https://t.co/m3DLcf1cS3,0.00088,0.0,5e-05,0.00018,0.0002,3e-05,2e-05
12,How far we have come... 😢😢😢 #FarmersProtest,0.00053,0.0,4e-05,9e-05,0.0001,2e-05,2e-05
13,@Diljitdosanjhi #GodiMedia i.e. laps dogs of #BJP government as always would try to befool people of India but things have changed now. Majority is with #Farmers  and supports #FarmersProtest. #BoycottGodiMedia #IndiaUnsafeUnderBJP #isupportfarmers,0.33159,2e-05,0.00223,0.00257,0.28702,8e-05,0.0002
14,Peace for everyone #FarmersProtest  #ShameOnDelhiPolice https://t.co/JTXxNZ1v32,0.00055,0.0,4e-05,8e-05,0.00013,2e-05,1e-05
15,"There was no #Covid_19 when the Modi govt wanted to bulldoze anti-farmer black laws? Now that pressure is mounting on the govt to rollback the laws, there is COVID?   If these laws are actually going to benefit farmers, why is the govt avoiding debate &amp; scrutiny? #FarmersProtest twitter.com/ndtv/status/13…",0.01157,1e-05,0.00016,0.00797,0.00124,9e-05,5e-05
16,Support farmers #FarmersProtest,0.00091,0.0,5e-05,0.00012,0.00019,3e-05,2e-05
17,Great read! Thanks for sharing.   #FarmersProtest #FarmersMakelndia twitter.com/kaushikcbasu/s…,0.00048,0.0,3e-05,8e-05,0.00012,2e-05,1e-05
18,"#आंदोलन_किसानों_की_मजबूरी #FarmersProtest  Support Farmers Save country from government, corporates and their conspiracies",0.00064,0.0,5e-05,9e-05,0.00015,2e-05,2e-05
19,"@BaronDavis Support Farmers, Support Humanity.   A Farmer has no religion. A farmer grow food never thinks that it should be eaten by a hindu, muslim, sikh or Christian.   we all are one.    #FarmersProtest   Plz plz stand with Farmers.",0.03514,0.00035,0.00094,0.04078,0.00378,0.00077,0.00052
20,Youth has been crucial for #FarmersProtest be it be on ground or social media! From facing every lathi of police patiently to standing against IT Cell's paid bots -  #KisanYouth_SabseMajboot https://t.co/CBtPIn2m1s,0.00115,0.0,7e-05,0.00011,0.00023,3e-05,2e-05
21,Govt: There is an MSP and MSP will always remain there but MSP can't be a legal right of the farmers otherwise they will always ask for the MSP. #FarmersProtest https://t.co/SkK0ljunPz,0.00047,0.0,4e-05,7e-05,0.00012,2e-05,1e-05
22,Guys! Hug your grandparents if you have them. They are so precious. When they are gone you miss them so much and no one can fill that gap not even your parents. They have their own place in your heart ♥️ miss my grandpa. #FarmersProtest,0.00462,1e-05,0.00065,0.00041,0.00113,0.00019,0.0001
23,Today Hashtag Retweet  #FarmersProtest #RealFarmersVsActorModi https://t.co/kcMh5R82t6,0.00039,0.0,4e-05,7e-05,0.0001,2e-05,1e-05
24,"REMEMBER "" BRAVENESS IS NOT ABSENCE OF FEAR, BUT RATHER THE  STRENGTH TO KEEP ON GOING FORWARD DESPITE THE FEAR. "" #FarmersProtest_AtParliament  #FarmersProtest",0.00643,1e-05,0.00057,0.00022,0.00069,0.00023,0.00017
25,OMG the level of insecurity among so called bollywood celebs and Cricketers speaks volume. Our farmers are courageous. #FarmersProtest twitter.com/Punjab2000musi…,0.00078,0.0,4e-05,0.00012,0.00021,2e-05,2e-05
26,Do you really think so they are Khalistani #ANTINATIONAL #IndiaAgainstPropaganda #IStandWithFarmers #FarmersProtest https://t.co/12LCATdXMl,0.00075,0.0,6e-05,0.00012,0.00014,2e-05,2e-05
27,Good morning to everyone  No Farmer No Food No Future  Support Farmers  #8MonthsOfFarmersProtest #FarmersProtest,0.00046,0.0,3e-05,7e-05,0.00011,2e-05,1e-05
28,#FarmersProtest Ask to Government  #MSP_लागत_से_कम_क्यों https://t.co/ldlpR6evRU,0.0004,0.0,3e-05,7e-05,0.0001,2e-05,1e-05
29,All waves are same.  Stop super spreaders like first the #TabligiHeros and now #FarmersProtest  Common sense @laxman_xy twitter.com/sri9011/status…,0.00079,0.0,4e-05,0.00012,0.00016,3e-05,2e-05
30,Link to Ranaut's pro-genocide Instagram story ➡️ instagram.com/stories/kangan…  Link to Ranaut's pro-genocide Facebook post ➡️ facebook.com/KanganaRanaut/…  #FarmersProtest,0.00319,0.0,9e-05,0.00088,0.0004,8e-05,7e-05
31,We are farmers Don’t harm us.  #FarmersProtest #ReleaseDetainedFarmers  @Bkuektaugrahan  @singhbalkar,0.0024,0.0,8e-05,0.00028,0.00041,6e-05,3e-05
32,@ankit_variya @AskAnshul @JustinTrudeau India hold 80% vaccine production capacity of worldwide production &amp; this infrastructure was created by our visionary leadership of GoI under @INCIndia governance. We have proud on it. &amp; Now what happening #HumDoHumareDoKiSarkar  #FarmersProtest,0.00053,0.0,4e-05,7e-05,0.00015,2e-05,1e-05
33,"Rihanna, 33rd on the Forbes list of richest self-made women in America with a net worth of $600m, tweets in support of farmer protest in India.  Bhakts: ""Lagta hai payment pahunch gayi isko""  #ModiGlobalDisaster  #KanganaRanaut  #रिहाना #FarmersProtest",0.00563,4e-05,0.00015,0.00631,0.00116,0.00012,0.00093
34,"Neither the tents nor the determination, the only thing sinking here is Democracy. #FarmersProtest  #किसान_आंदोलन_संसद_तक https://t.co/mwor2Z1e6j",0.00047,0.0,3e-05,8e-05,0.00011,2e-05,1e-05
35,"@ndtvvideos @ndtvindia #FarmersProtest @sherryontopp The very fundamental concept of India 'Jai Jawan Jai kisan' has been changed by this goverment to 'Jai Gujju Jai Hindu'. Disclaimer: Bhakts, plz dnt try to comprehend it, just not for you...dnt try...dd..dnt.",0.0016,0.0,0.00016,0.00019,0.00025,3e-05,4e-05
36,Facts Vs Narendra's narratives about the #FarmersProtest  #FarmersMakeIndia  #IndiaWithFarmers twitter.com/SAsiaSolidarit…,0.00042,0.0,3e-05,8e-05,0.00011,2e-05,1e-05
37,"Bharatiya Janata Party (@BJP4India) leader #SunnyDeol cautioned the global community amid the raging #farmersProtest in the country. The actor-turned-politician said the matter was between the farmers and the government, and that they would find a resolution soon.  #FarmLaws https://t.co/KNmCLnvGNz",0.0008,0.0,4e-05,9e-05,0.00025,2e-05,1e-05
38,"Canadian PM @JustinTrudeau reiterates his stance on #FarmersProtest  in India amidst worsening ties with New Delhi, says Canada will always stand up for right of peaceful protest and human rights around the world! twitter.com/ayu_agarwal94/… https://t.co/4FGOY3a2f2",0.00065,0.0,3e-05,0.00012,0.00016,2e-05,1e-05
39,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary  Our farmers are still fighting for their rights #JusticeForKarnalFarmers #FarmersProtest https://t.co/V1bxWM3sVd,0.00061,0.0,4e-05,9e-05,0.00015,2e-05,1e-05
40,"@Drake - Punjabis are part of the fabric of the 6 and you are THE soundtrack for many young Punjabis in the west...they need you now to help highlight the #FarmersProtest.  Sometimes we laugh, sometimes we cry. Sometimes we raise our voices.",0.00077,0.0,4e-05,0.00018,0.00018,3e-05,2e-05
41,Fighting from last 7 months and will fight till our last breath.  Modi government is wrost government in history of India .  We have losted 600+ our Farmers but government is busy on theirr corporate love . #Jaikisan   #FarmersProtest  #7MonthsOfFarmersProtest https://t.co/7JYafzLIT4,0.00053,0.0,3e-05,8e-05,0.00014,2e-05,1e-05
42,We are with t full support from India #FarmersProtest twitter.com/LicypriyaK/sta…,0.00074,0.0,6e-05,0.00011,0.00015,2e-05,3e-05
43,@sunmor2901 @Goldisingh_07 #राकेश_टिकैत_हीरो_है #मोदी_कायर_है  #राकेश_टिकैत_किसानों_की_आवाज_है  #RakeshTikaitVSModiDakait #RakeshTikait  #FarmersProtest  #farmerprotest #gazipurborder  #गाजीपुर_बॉर्डर  Copy Paste RT,0.00058,0.0,7e-05,9e-05,0.00012,3e-05,2e-05
44,@imPrabhatS @RaviSha08180084 @_sayema Can u ask them commenting on #FarmersProtest that they will force their respective Governments not to oppose #India in #WTO or ny other international platform for providing higher subsidies to #Farmers or its just for #Mudi sud rejine #IndiaAgainstPropaganda #IndiaStandsTogether,0.00053,0.0,4e-05,8e-05,0.00013,2e-05,1e-05
45,"@DoabanJatti First #Punjab was divided by Brits, then India divided East Punjab. Now #Modi wants to take away whatever little land remains in #EastPunjab. Every #Punjabi should stand up bfr its too late.  #FarmersProtest #FarmLaws",0.00139,0.0,7e-05,0.00024,0.00025,4e-05,2e-05
46,One woman has shook a whole country and all she did was ask why an important issue wasn't being discussed. Imagine if she'd come out against the laws that the protests are about! You go girl as they say across the pond @rihanna you ok @KanganaTeam 🤣🤣🤣 #FarmersProtest,0.00354,2e-05,0.00014,0.0016,0.00082,0.00014,0.00034
47,@Shujaat_Mirza Not having materialized the anti-CAA movement into something structural and concrete has been our biggest failure. In contrast the #FarmersProtest is going along a much better trajectory.  May God help us.,0.00066,0.0,5e-05,8e-05,0.00016,2e-05,2e-05
48,So true #FarmersProtest #FarmersAboveReligiousHate twitter.com/BilalDiary/sta…,0.00114,0.0,6e-05,0.00018,0.00023,2e-05,2e-05
49,@thehighmonk So are you using the web now ?  #FarmLaws_ThreatToIndians #FarmersProtest,0.00146,0.0,6e-05,0.00037,0.0002,4e-05,3e-05
50,@monikahalan @madhukishwar Hey Ladies! We all know Girls Get it Done! I am tired of Indians not in India passing judgements without even a basic Google search. So I wrote a reply. Please help me get it to @washingtonpost  #FarmersProtest  linkedin.com/pulse/western-…,0.0077,1e-05,0.00023,0.00473,0.00129,6e-05,0.00025
51,"Support for the farmers' protest swelled on Saturday, as more villagers poured in at a key protest site on the Delhi- Meerut highway in Ghazipur.  #FarmersProtest   hindustantimes.com/india-news/bku…",0.00057,0.0,3e-05,9e-05,0.00014,2e-05,1e-05
52,India will be completely closed tomorrow in protest of the three agricultural laws.  #FarmersProtest #कल_भारत_बंद_होगा https://t.co/6GJexiEAYh,0.00055,0.0,3e-05,0.00012,0.00011,3e-05,1e-05
53,"@drshamamohd And open your eyes, ears and brain so that you can listen to #FarmersProtest",0.07692,1e-05,0.00074,0.00041,0.04223,0.00019,0.00093
54,@beatsbynav Bollywood celebrities now speaking out because @rihanna said something about #FarmersProtest. I think it would be a good time for the world to #boycott the #Bollywood industry to see how long it takes them to start protesting for their way to make a living. @jazzyb you on board?,0.00068,0.0,4e-05,8e-05,0.00018,2e-05,2e-05
55,If you think I'll listen anything nonsensical about ModiJi .. Then Joke is on you!! #modiji #RepublicDay #FarmersProtest,0.04613,2e-05,0.00231,0.00066,0.00432,0.00021,0.00039
56,We Stand United against the Khalistani Terrorists...  #UnitedAgainstKhalistan #FarmersProtest https://t.co/eZezGAjDZe,0.00593,0.0,5e-05,0.00095,0.00102,0.00011,2e-05
57,"Farms are developed, managed and maintained by farmers. Indian Farmers won't just give farms under control of few corporates  as Modi Govt wants to.  #FarmersProtest #FarmsAreNotStadiums  #FarmersAreIndia",0.00047,0.0,3e-05,9e-05,0.00012,2e-05,1e-05
58,#ModiGovtKillingDemocracy KILLING DEMOCRACY #fekumodi #bjp_rss_againstfarmers #dictatormodi GANDHIS #modidisasterforindia #bjplootingindia #modijhootahai BREAKING #bjpsellingindia #modigovt_exploitingfarmers #BJP_Against_Rajputs JUMLA PARTY #farmersprotest #nofarmersnofood KISAN https://t.co/4r33FCw5cM,0.44311,0.00025,0.00901,0.00802,0.00898,0.13119,0.00081
59,112 Days of #FarmersProtest  300 + Deaths PM - in Mute Mode #300DeathsAtProtest  #300DeathsAtProtest https://t.co/8gZhf5mbei,0.00049,0.0,4e-05,8e-05,9e-05,3e-05,2e-05
60,"@theA11Y @TeamJuJu They r tryin all ways to devide Ind n destabilize government, so outsider can cook their roti.anythin govt proposed with All approval n rightfully.they covert them into riots.can u imagine how much dust n garbage accumulated in India.V need Modi 4 50yrmor #Rihanna #FarmersProtest",0.45365,1e-05,0.0018,0.00101,0.40849,8e-05,0.00014
61,Shameless media Having no Concise  #ZeeNews_दलाल_मोदी_का #FarmersProtest https://t.co/RYm10uLr7V,0.04197,0.0,0.00038,0.00083,0.02013,0.00014,0.0001
62,"@BWoodward_UN @TheUNTimes @DominicRaab @antonioguterres @unicefchief @GaviSeth @jagan_chapagain @narendramodi @UN The @UN @antonioguterres must speak out against paranoid, fearful and vindictive actions of the @narendramodi regime against it's people but mostly against it's farmers who have been protesting roadside at Delhi's border for over 6 months now.  #FarmersProtest #SpeakUpForNodeep",0.00368,0.0,0.00011,0.00023,0.00112,4e-05,3e-05
63,"The Maha Panchayat revolution is bigger than the Mahabharat, everyone come together and make history  #FarmersProtest #MahapanchayatRevolution twitter.com/IamProudPunjab…",0.0005,0.0,3e-05,9e-05,0.00012,2e-05,1e-05
64,"In every social media, all section of society opposing bjp than who is voting to them? Because every state winning election....  #FarmsAreNotStadiums             #FarmersProtest 8 @narendramodi @PMOIndia @BJP4India",0.00051,0.0,3e-05,9e-05,0.00014,2e-05,1e-05
65,"WE ARE GOING TO MAKE NOISE CONTINUOUSLY FOR FARMERS UNTIL RE PEALING OF LAWS.....!!!   #WhyModiHatesFarmers #FarmersProtest  #KissanEktaJindabad  #FarmerProtests  #modifailsindia  #modiagainstnation  #bjpfails  #repealrepressivelaws  #wesupportfarmers   ""NO FARMERS NO FOOD"" https://t.co/KZncPRyy5v",0.01215,1e-05,0.00093,0.00069,0.00138,0.00025,0.00013
66,"BJP thinks if they won’t mention, it might mean it had never happen!! But Luckily its not 18th or 19th century, Ppl not only in UP as well across globe knew what BJP has done to India #FarmersProtest #हरियाणा_का_किसान_बेमिसाल",0.00094,0.0,0.0001,0.00011,0.00017,2e-05,2e-05
67,"The struggle is likely to continue until March 24-March31.   5 State elections are also coming at the sametime.  Whatever may be, Down Down Sanghis !  #FarmersProtest",0.0004,0.0,3e-05,8e-05,0.0001,2e-05,1e-05
68,@AntardeepanRoy @timesofindia Still there should b n explanation na? Govt s saying #FarmerBill2020 ll benefit #farmer #FarmersProtest says the bill ll only benefit corporates @BJP4India supporters nd #their intellectuals say the #bill s need f time nd oppsition parties nd their intellectuals only 1 cn b right,0.00164,0.0,0.00021,9e-05,0.00045,2e-05,3e-05
69,We need to support who are raising their voices for farmers.don’t waste time for shameful people they live India and they can see everything but can’t raise their voice heartless people.We need to save farmers and raise our voice in the whole world. #FarmersProtest twitter.com/KaurBmusic/sta… https://t.co/zYCZI70YNu,0.05572,0.0,0.00034,0.00184,0.03177,0.00011,7e-05
70,You cannot become Vishwa Guru if you cannot take criticism in stride. A global leader requires a thick skin. #FarmersProtest,0.00312,0.0,0.00011,0.00018,0.00081,6e-05,6e-05
71,Long Live Farmer’s Unity ✊  #FarmersProtest  #KarnalProtest_AgainstLathicharge 121 twitter.com/Randhawa_twt/s…,0.00059,0.0,5e-05,8e-05,0.00014,2e-05,2e-05
72,#FarmersProtest #FarmersProstest #FarmersStandingFirm #IndiaStandsTogether with farmers. twitter.com/pcsreeram/stat…,0.00058,0.0,4e-05,9e-05,0.00014,2e-05,2e-05
73,It is a gross injustice that the government is persecuting those who support the right.  #FarmersWithGoldenHutDhaba  #FarmersProtest https://t.co/26wJQ7ir6J,0.0164,0.0,0.00037,0.00044,0.00427,0.00011,0.00012
74,Under modi #JumlaJivi sarkar India loose finger 3 to finger 8 of mountain land in #Galwayanvalley at LAC. Gaddar BJP RSS #RahulGandhiExposesBJP  #StandWithFarmers  #FarmersProtest,0.00114,0.0,0.00017,0.00012,0.00021,4e-05,6e-05
75,@KamalaHarris do you think your speech on democracy to @narendramodi is worth ? @RahulGandhi @UN @G7 @JPN_PMO @POTUS @Europarl_EN @GovernmentRF @JustinTrudeau can someone help restore democracy in India ? youtu.be/QhrqkgMwUDI #FarmersProtest #lakhimpurkhiri #PriyankaGandhi,0.00108,0.0,6e-05,0.0001,0.00029,2e-05,2e-05
76,And The Farmers Won 💪🌾 #kisanektazindabaa 💖🇮🇳  #FarmersProtest #farmlawsrepealed #farmlaws,0.00071,0.0,7e-05,9e-05,0.00015,2e-05,2e-05
77,@vikasBkuTikri Shame on BJP #तानाशाह_मोदी_किसान_विरोधी #FarmersProtest,0.00289,0.0,0.00026,0.00025,0.00033,5e-05,6e-05
78,#FarmersProtest  #BJPGoonsAttackingFarmers and the security forces let this happen https://t.co/auPNaO5TKl,0.00053,0.0,4e-05,8e-05,0.00012,2e-05,2e-05
79,International Pop star Rihana tweeted about Farmers protest going  on in India. #FarmersProtest twitter.com/rihanna/status…,0.00094,0.0,5e-05,0.00012,0.00024,2e-05,3e-05
80,This is tractor of Farmers not Mercedes of Politician #FarmersProtest #FarmersDilliChalo   Tochan 'aa da jatt vi shokeen mudd to Je addiyan karegi ni main lai ju khinch ke twitter.com/kotiyalrahul/s…,0.00162,0.0,0.00015,0.00017,0.00034,3e-05,3e-05
81,@yadwind46344731 Hash tag wrong paya its #FarmersProtest,0.00047,0.0,3e-05,7e-05,0.00011,2e-05,1e-05
82,Kerala is against fascism  Kerala is against CAA Kerala is against BJP Kerala is WITH  FARMERS !!!  #FarmersProtest  #GoBackModi  #GoBackCowardModi  #PoMoneModi twitter.com/silpa__/status…,0.00294,0.0,0.00011,0.00026,0.00065,4e-05,3e-05
83,"Peaceful protest is the worst crime in India! But violence, genocides are totally acceptable!!! #FarmersProtest  #किसान_संसद_कूच_करेगा twitter.com/SranHarjap/sta…",0.01244,0.0,0.00016,0.00177,0.00142,0.00033,7e-05
84,Government and media are trying to suppress the voice of FARMERS   #Modi_KillerOfFarmerRights  #FarmersParliament #FarmersProtest https://t.co/XRTE6oBJh8,0.00061,0.0,4e-05,9e-05,0.00015,2e-05,2e-05
85,@DDNewsHaryana @DiprHaryana @DDNewsHindi @ROBChandigarh @PIBChandigarh @PBNS_India @cmohry Lakhimpur Kheri's incident ...this is how peaceful protesting Farmers were killed  by  #भाजपा_के_आतंकवादी...We want justice for the Lakhimpur Kheri's Farmers #FarmersProtest https://t.co/8xyODiwncx,0.00186,0.0,0.00012,0.00022,0.00028,7e-05,3e-05
86,#FarmersProtest #ConstitutionDay2020  #ConstitutionDay  #ThanksDrBRAmbedkar  Who is the real hero of India ? 1)DR.B.R Ambedkar 2)Savarkar     Like❤️.                   Retweet 🔄 https://t.co/Dlyk93A4hY,0.00064,0.0,5e-05,9e-05,0.00014,2e-05,2e-05
87,"@ANINewsUP Delhi border isn't your home, Rakesh Tikait. You don't even pay income tax &amp;taking away common citizens daily routine &amp; life. Bcoz of ppl like him Farmers are doing this protest. Delhi is #Covid center &amp;these ppl will spread in entire north india. #FarmersProtest is ANTI HUMANITY",0.00713,0.0,0.00028,0.00027,0.00255,4e-05,7e-05
88,No Farmers No Food  #तोमर_किसानी_बर्बाद_करेगा  #FarmersProtest,0.00047,0.0,4e-05,9e-05,0.0001,2e-05,2e-05
89,Tyranny govt should take its farm law back they can't coercive with farmers  #FarmersProtest #farmer,0.00197,0.0,6e-05,0.0003,0.00038,5e-05,2e-05
90,@harbhajan_singh When will you do or say for #FarmersProtest,0.0008,0.0,5e-05,9e-05,0.00015,3e-05,2e-05
91,Hockey players are not just Punjabis they are Indians.   Farmers are not Indians they are Punjabis.   They hypocrisy level of sanghis deserve s few gold medals!  #FarmersProtest,0.70375,0.00014,0.0045,0.29441,0.49526,0.00052,0.00046
92,"The Government of India oppresses farmers in this way, it is very wrong, the government should listen to the farmers and solve their problems.  #FarmersProtest #किसान_विरोधी_मोदी_सरकार #किसानआंदोलन https://t.co/suGINS7yB4",0.00093,0.0,5e-05,0.00015,0.00019,3e-05,2e-05
93,@the_hindu Its Hypocrisy VS Democracy !! #ReleaseActivists #ReleaseFarmers #IStandWithFarmers #FarmersProtest #ReleaseFrStanSwamyNow #HathrasHorrorShocksIndia #DelhiRiots2020 #CAA_n_NRC #JNUViolence #BhimaKoregaon #Lynchings #JagoIndiaJago #JaiJawanJaiKissan  #AppniAkalLagaoDeshBachao,0.30159,1e-05,0.00166,0.00158,0.20997,9e-05,0.00018
94,#ModiResignOrRepeal #FarmersProtest Modi Resign Or Repeal twitter.com/satwinderk13/s…,0.00053,0.0,4e-05,7e-05,0.00012,2e-05,2e-05
95,Hashtag for today (02/03/21)  #JusticeForRanjitSingh   Tweet | RT | Share | Spread | Like  #FarmersProtest https://t.co/6azGEMgolv,0.00037,0.0,3e-05,6e-05,9e-05,2e-05,1e-05
96,"This has given me goosebumps.This time around we will have a saga of courage, sacrifice and winning to share with our next generation. 💪🏽💪🏽🦁🦁#FarmersProtest  Kisan  Anthem 2 (Official Teaser) Shree Brar | Latest Punjabi Song 2021 youtu.be/X9QGieesHuE via @YouTube",0.00357,0.0,0.00038,0.00019,0.00078,7e-05,9e-05
97,"@SaralPatel hahha must take necessary step , NIA ,RAW etc etc intelligence report advise this too #Rihanna #FarmersProtest",0.00074,0.0,5e-05,7e-05,0.00016,3e-05,2e-05
98,Today Hashtag Retweet  #मोदी_बिचौलिया_अडानी_का  #FarmersProtest  #kisaanektazindabaad https://t.co/y5c5666cE9,0.00042,0.0,5e-05,8e-05,9e-05,2e-05,2e-05
99,"Minder Kaur, an 85 years old farmer has been continuously protesting against the anti-farmer bills. To support her growing family, she used to work as a farmer. This hardworking grandma had lately been vilified and insulted by @KanganaTeam shame  #Tractor2Twitter #FarmersProtest twitter.com/Tractor2twitr/…",0.00182,0.0,0.0001,0.00015,0.00055,3e-05,3e-05
100,#KisanhulKahlistan decide your fate by besieging #Indian Parliament #sfj #FarmersProtest #FarmersProtest_AtParliament @NarangVipin @pujamehra @free_Thinker @Roshanjnu @sandeepParekh @sharmasupriya @AmanKayamHai_ET https://t.co/VCxKs68hei,0.00124,0.0,0.00011,0.00019,0.00022,3e-05,3e-05
101,"It should be a lesson, you can’t fabricate lies and think that they will work in other Countries too 🤦🏼‍♀️ Getting humiliation every where #FarmersProtest #300DaysOfFarmersProtest twitter.com/amaanbali/stat…",0.02636,0.0,0.00057,0.00047,0.00904,0.00011,0.00014
102,How can you climb a Mughal monument if there's no Mandir beneath it. Sanghees are confused!  #KisanTractorRally #26जनवरी_का_सम्मान #26January #72ndRepublicDay #TractorParadeOn26Jan #TractorsVsTraitors #TractorVsTraitors #TractorMarchDelhi #TractorsRally #FarmersProtest,0.00147,0.0,0.00011,0.00025,0.00023,4e-05,4e-05
103,The Samyukta Kisan Morcha told the central government to focus on fighting Covid-19 instead of farmers #FarmersProtest #COVID19   indiatoday.in/india/story/fi…,0.00053,0.0,4e-05,0.0001,0.00012,2e-05,1e-05
104,Farmers' stir: Will PM Modi stick to reform or give in to populist pressure? Panelists discuss.   #Video #FarmersProtest #FarmLaws indiatoday.in/india/video/fa…,0.00068,0.0,4e-05,8e-05,0.00016,2e-05,1e-05
105,"#ArrestAshishMishra #FarmersProtest #Lakhimpur #GANGA #hatras #ManishGuptaDeathCase is this all for UP election?? #UttarPradesh #BJP_KillerOfFarmers #AkhileshYadav it’s seems law and order are not meant for BJP, #BrutalDeathClothing",0.00108,0.0,0.00011,0.00013,0.00019,3e-05,2e-05
106,Gehlot lashes out at BJP for comparing Dalit's killing to Lakhimpur Kheri incident  #Gehlot #AshokGehlot #Rajasthan #Dalit #LakhimpurKheri #FarmersProtest #YesPunjab  yespunjab.com/?p=322310,0.00389,0.0,0.00017,0.00032,0.00033,0.00032,6e-05
107,We stand with the farmers and we will continue to support them until they get their right #TractorsVsTraitors #BoycottBJP #GodiMediaStopMisleading #FarmersProtest #PeacefulProtestContinues https://t.co/3dsP6jWnxp,0.0006,0.0,4e-05,9e-05,0.00015,2e-05,1e-05
108,We will fight till our last breath. #आज_आक्सीजन_कल_रोटी_जायेगी #FarmersProtest twitter.com/navneetkaursoh…,0.00169,0.0,0.00012,0.00015,0.00018,0.00012,4e-05
109,#FarmersProtest in a nutshell.... #IndiaAgainstPropaganda https://t.co/s3eUJwhwtc,0.00048,0.0,4e-05,7e-05,0.00011,2e-05,1e-05
110,"What changed in 70 years? Earlier Farmers were respected for their contribution &amp; sacrifices but in ""New India"" of BJP, Farmers have become Anti National who do not have any right to Protest. Shameless &amp; coward BJP have crossed all limits #FarmersProtest  #Khattar_NewGeneralDyer",0.05093,0.0,0.00032,0.00042,0.0419,4e-05,5e-05
111,Today Hashtag Retweet   #Justice4NavreetKilling  #FarmersProtest https://t.co/SEz5HCruCW,0.00062,0.0,5e-05,8e-05,0.00013,4e-05,2e-05
112,@BritAsiaTV @jazzyb This -&gt; #shameonbollywood  #FarmersProtest #IndianFarmersHumanRights,0.00085,0.0,5e-05,0.00018,0.00016,2e-05,2e-05
113,@girishalva Imran Khan’s attack on Republic/Arnab proves that Mah govt and Dawood gang had planned to kill Arnab ??? #HappyRepublicDay_2021 #ArnabGoswamiExposed #ArnabGate #FarmersProtest #26JanDelhiTractorParade,0.1231,4e-05,0.00111,0.00235,0.00221,0.0453,0.00034
