input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
Love the picture  #StopHateAgainstFarmers #FarmersProtest twitter.com/farmer3630/sta…,0.00061,0.0,4e-05,9e-05,0.00015,2e-05,2e-05
So much suffering. Sikh organisations should also help them @Kisanektamorcha #FarmersProtest @khalsaaid_india twitter.com/ECHO_MiddleEas…,0.01093,1e-05,0.00013,0.00182,0.00115,0.00042,6e-05
The true defination of our hardworking farmers; F – Fearlessness A – Assertion R – Resolve M – Morality E – Empathy R – Righteousness #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/Wo7kpF4nNG,0.00202,0.0,0.00017,0.00017,0.00044,4e-05,4e-05
@dil_di_awaz Dont understand how can somebody hate farmers They r the most selfless people #StopHateAgainstFarmers #FarmersProtest,0.05683,1e-05,0.00064,0.00279,0.02383,0.0002,9e-05
"Instead of listening to what the farmers want, Bjp govt is trying everything to suppress the voices of the farmers. Why? What is the govt trying to hide?! #StopHateAgainstFarmers #FarmersProtest https://t.co/BDKDKji1WY",0.00097,0.0,5e-05,0.00013,0.00023,3e-05,2e-05
No caption needed for this pic! #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/rtUh5mWBu9,0.00054,0.0,5e-05,9e-05,0.00011,2e-05,2e-05
Farmers are doing everything they can to provide for their families while they grow food for our families. Don’t you think they deserve our respect? Don’t they deserve a decent living? Why can’t they ask for govt to repeal the farm bills? #StopHateAgainstFarmers #FarmersProtest https://t.co/KjmMAvuK5b,0.00085,0.0,4e-05,0.00012,0.00022,2e-05,1e-05
No caption needed for this pic! #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/Bw4LsPpV70,0.00054,0.0,5e-05,9e-05,0.00011,2e-05,2e-05
Farmers fighting for their rights #StopHateAgainstFarmers #FarmersProtest twitter.com/drkhinda2/stat…,0.00092,0.0,4e-05,0.00013,0.0002,3e-05,1e-05
"#FarmersProtest     Most of the population in India depends upon Farming, and other depends on that farmers to have food.  Farmers also contribute in National income, so #StopHateAgainstFarmers twitter.com/Drkhinda2/stat…",0.00045,0.0,3e-05,9e-05,0.00012,2e-05,1e-05
Word on the street: We support farmers all over the world. #FarmersProtest https://t.co/MmeHXkPNhT,0.00064,0.0,3e-05,0.00011,0.00015,2e-05,1e-05
Let’s stand with our elders &amp; show the world what we can accomplish when different generations work together.   #StopHateAgainstFarmers #FarmersProtest #GoBackModi @sushant_says @RamanDhaka @MonikaSinghSays https://t.co/T95WRZEhMC,0.00074,0.0,4e-05,0.00011,0.00018,3e-05,2e-05
farmers are asking for what’s rightfully theirs—repeal of farm bills. these bills were passed without a debate or any discussion with those who are impacted the most. so why can’t they ask to repeal what they didn’t want to begin with? #stophateagainstfarmers #farmersprotest https://t.co/zfjpAX45WN,0.00048,0.0,3e-05,7e-05,0.00014,2e-05,1e-05
@jasdhaliwal349 Love you too bro #FarmersProtest #StopHateAgainstFarmers https://t.co/ZofkOEFlf6,0.00112,0.0,0.0001,0.0001,0.00025,3e-05,3e-05
Modi wants to make easy money by selling farmers to corporate goons. And to do this he has thrown the Sikh vs. Hindu virus in the mixture to DISTRACT people from focusing on the real shit he is trying to pull.  #StopHateAgainstFarmers #FarmersProtest https://t.co/OM8ypNgybe,0.86645,0.00188,0.69133,0.01045,0.49363,0.00035,0.00167
"#StopHateAgainstFarmers #FarmersProtest is against Farm Laws, not against any religion or political party except ruling party,  wich is ignoring farmers for the interests of the Corporates.",0.00133,0.0,4e-05,0.0002,0.00029,2e-05,2e-05
"A #Hindu MLA was stripped naked and beaten brutally in #Congress ruled #Punjab by so called farmer's of #FarmersProtest.  Imagine the same, if had happened to a Sikh Or Muslim MLA or individual in a #BJP ruled state.  I know, you can't even imagine that...  Desh jal gaya hota",0.08269,0.00011,0.00129,0.06482,0.00555,0.0007,0.00156
@ikaur_deep On it! #StopHateAgainstFarmers #FarmersProtest = #HumanRights #Desh_Ka_Gaddar_RSS #देश_विरोधी_संघटन_RSS,0.00144,0.0,0.00015,0.00014,0.00019,4e-05,4e-05
"Trending on No :- 4 with 4,712 tweets...please keep posting in the support of the Farmers.... Let's make it No:-1 #FarmersProtest #StopHateAgainstFarmers https://t.co/VCEf765Jzf",0.00062,0.0,4e-05,8e-05,0.00013,2e-05,2e-05
"When dictatorship grows, the people have to bring about a Revolution #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/wIFMUGhs8l",0.00065,0.0,3e-05,0.00011,0.00016,2e-05,1e-05
"#StopHateAgainstFarmers because #FarmersProtest r paid Khalistani terrorist, real #Farmers r hard working and working in their khet-khaliyan",0.0131,0.0,0.00025,0.0007,0.00281,0.00015,6e-05
Dear bhakts we have so much for you guys to be mad about.. just be patient... #FarmersProtest #StopHateAgainstFarmers https://t.co/IITTfrxYGh,0.00928,1e-05,0.00066,0.00036,0.00202,0.00016,9e-05
"Stop Hating Farmers. We are the Nation Builders. Not go back, Just observe the period of CORONA, It is the Agriculture Sector that railed the National Economy on Track. You people Hate them... THINK. United we STAND and WIN. #StopHateAgainstFarmers #FarmersProtest https://t.co/7Il1UD1lnx",0.01662,0.0,0.00023,0.00151,0.00215,0.00033,6e-05
This Fascist Regime and it's #GodiMedia are working in tandem with a propaganda to Derail the #FarmersProtest and this hate propaganda needs to Stopped Now.  𝗪𝗲'𝗿𝗲 𝗙𝗮𝗿𝗺𝗲𝗿𝘀 𝗡𝗼𝘁 𝗧é𝗿𝗿ó𝗿𝗶𝘀𝘁. #StopHateAgainstFarmers  @RakeshTikaitBKU @LambaAlka @sushant_says https://t.co/mADLYVroku,0.17398,4e-05,0.00789,0.00462,0.04868,0.00034,0.00056
"Farmers deserve respect, not hate!   #StopHateAgainstFarmers #FarmersProtest",0.02264,0.0,0.00017,0.00229,0.00289,0.00033,8e-05
Farmers are doing everything they can to provide for their families while they grow food for our families. Don’t you think they deserve our respect? Don’t they deserve a decent living? Why can’t they ask for govt to repeal the farm bills! #StopHateAgainstFarmers #FarmersProtest https://t.co/sHHcJgzfxC,0.0011,0.0,4e-05,0.00014,0.00026,3e-05,2e-05
Why does the bjp govt have a problem with peacefully protesting farmers? The farmers only want their elected officials to do their job by listening to them &amp; repeal the farm bills. Instead the govt is spreading hate. Why?! #StopHateAgainstFarmers #FarmersProtest https://t.co/ml5MRTDWHt,0.00394,0.0,8e-05,0.00029,0.00099,5e-05,2e-05
Kindness. The only possible method when dealing with a living creature. #FarmersProtest #StopHateAgainstFarmers https://t.co/TEbVm26kPF,0.00074,0.0,4e-05,0.0001,0.00016,3e-05,2e-05
We want the BJP government to stop spreading hatred against farmers and repeal anti-farmer laws as soon as possible.. Repeal black farm laws @nstomar #StopHateAgainstFarmers #FarmersProtest https://t.co/B2wQDcQ7Hj !,0.0376,2e-05,0.00025,0.02289,0.00348,0.00023,9e-05
"Instead of listening to what the farmers want, Bjp govt is trying everything to suppress the voices of the farmers. Why? What is the govt trying to hide?! #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi #FarmersProtest https://t.co/BDKDKj0qyo!",0.00116,0.0,7e-05,0.00015,0.00025,3e-05,2e-05
@Prabhjo45866124 cute small #farmer he learning  passion with determination and he doesnt about age and strength  ☺ #StopHateAgainstFarmers  #FarmersProtest,0.0018,0.0,8e-05,0.00014,0.00044,3e-05,3e-05
"You hate farmers I hate you,  if you love them I love you! ;)   #StopHateAgainstFarmers  #FarmersProtest",0.63937,0.00022,0.02218,0.02685,0.11524,0.00733,0.00117
"In addition to respecting our farmers, I humbly request everyone supporting #FarmersProtest to respect each other. We can have disagreements but let’s try to show some integrity.   #StopHateAgainstFarmers https://t.co/i8DCrVaWtz",0.00042,0.0,3e-05,8e-05,0.00011,2e-05,1e-05
#FarmersProtest is everyone's protest #FarmersProtest #FarmersProtests #FarmLaws_DeathWarrant twitter.com/rakhitripathi/…,0.00059,0.0,4e-05,9e-05,0.00013,2e-05,1e-05
#StopHateAgainstFarmers #FarmersProtest has encouraged and established religious harmony in the nation.,0.0008,0.0,3e-05,0.00017,0.00018,2e-05,1e-05
Stop Targeting our Farmers again and again ...Nation know real enemy of the nation is Godi media who is a paid puppet of the modi.. #FarmersProtest #StopHateAgainstFarmers https://t.co/5TctBxshZj,0.05591,1e-05,0.00137,0.0018,0.02351,0.00012,0.00024
We want the BJP government to stop spreading hatred against farmers and repeal anti-farmer laws as soon as possible.. Repeal black farm laws @nstomar #StopHateAgainstFarmers #FarmersProtest https://t.co/B2wQDcQ7Hj,0.03701,2e-05,0.00024,0.02291,0.00341,0.00022,9e-05
"Modi and BJP agenda is to sell India and create a divided nation, filled with hate, where minorities are surpressed (including Hindu minorities aka lower caste folk). Congress destroyed Sikhs but BJPs agenda is far scarier.   #StopHateAgainstFarmers #FarmersProtest twitter.com/shuja_2006/sta…",0.02869,1e-05,0.00011,0.0118,0.0046,0.00017,5e-05
"@rakhitripathi #FarmersProtest is the protest of every citizen of secular india. It is not limited to the sikhs &amp; haryanvis of india. Every hindu, muslim, sikh, christian, buddhist, jain, parsi &amp; atheist from every state of india must support the farmer's protest if they want food.",0.02463,0.0004,0.00111,0.02777,0.00311,0.0006,0.00044
It's time show our unity to the real broker of the Nation which is BJP.. Stand up for your rights #FarmersProtest       ||No Farmers No Food|| #StopHateAgainstFarmers twitter.com/NavJammu/statu…,0.00046,0.0,3e-05,9e-05,0.00012,2e-05,1e-05
"@IamOnir They r doin rallies in WB in d wake of #FarmersProtest &amp; thr r sum dumbtards who'll vote fr them.Such an unfortunate situation.Wots wrong wid these BJP supporters? Can't they understand if these farmers were khalistaanis like kanhaiya was a terrorist, then they'd hv been in jail?",0.56236,3e-05,0.00514,0.00167,0.52014,0.0002,0.00027
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #FarmersProtest #GoBackModi https://t.co/aWkYLWgJ5i,0.00286,0.0,0.00015,0.00046,0.00048,9e-05,5e-05
According to the haters the farmers been renamed khalistanis 😂😂😂 So now onwards in their dictionary the word farmer does not exist. #StopHateAgainstFarmers #FarmersProtest,0.00386,0.0,9e-05,0.00064,0.00075,5e-05,3e-05
Morning Hooka &amp; Some Ghor Political Conversations with The Elders ! #HookaJeevi ;)   @Kisansocialarmy #FarmersProtest https://t.co/41eg6fyj2Q,0.00066,0.0,5e-05,9e-05,0.00016,2e-05,2e-05
"While farmers have planted seeds of love, bjp is busy spreading hate &amp; lies. #StopHateAgainstFarmers #FarmersProtest https://t.co/JEZBJ8pmrB",0.04427,1e-05,0.0006,0.00078,0.02012,0.0001,0.00013
"How could you people, HATE such Souls... There Religion is only Hard Work and Feed the Nation... Unbelievable... STOP HATING FARMERS and SUPPORT their AGITATION. #StopHateAgainstFarmers #FarmersProtest https://t.co/kAJHaMfc0e",0.16967,4e-05,0.00085,0.1005,0.01691,0.00098,0.00031
"Instead of listening to what the farmers want, Bjp govt is trying everything to suppress the voices of the farmers. Why? What is the govt trying to hide?! #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi #FarmersProtest https://t.co/BDKDKj0qyo",0.00093,0.0,6e-05,0.00012,0.00021,3e-05,2e-05
"I have come to believe that I have indeed been “arguing” with some Modi IT cells. They see no reason or logic. Why would they, when they’re getting paid like 2 rupees per tweet.   Just report them to @Twitter @TwitterIndia @SGPCAmritsar @TeamSaath @officialdsgmc #FarmersProtest",0.00075,0.0,5e-05,8e-05,0.00015,2e-05,2e-05
No one likes to be outside the comfort of own homes let along for 4 long months braving the frigid cold rains and now heat. Total Respect for the #FarmersProtest for standing up for their and our rights #StopHateAgainstFarmers  @NavJammu @JerryTo67518302 @GoldyGuron @4920_bullet https://t.co/jv8HH1aCft,0.00157,0.0,0.00015,0.00012,0.00031,4e-05,4e-05
#StopHateAgainstFarmers Farming is an occupation. It is not limited to a religion or a cast. #FarmersProtest,0.001,0.0,3e-05,0.0002,0.00019,3e-05,2e-05
Hate can't divide us and break us ...This thing govt. must understand. #FarmersProtest #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi https://t.co/5iOdEjmv47,0.00294,0.0,0.00016,0.00021,0.00038,0.00011,3e-05
"Someone thinking of his chair, someone around him When will Punjab and the future of Punjab be considered? #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/pUhOZ5JVWW",0.00064,0.0,4e-05,8e-05,0.00015,2e-05,2e-05
A nation that destroys its soils destroys itself. Farmers are the lungs of our nation REMEMBER it. #FarmersProtest #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi https://t.co/8n2qW9Kd1w,0.00071,0.0,4e-05,0.00012,0.00016,2e-05,2e-05
Always give respect To our Indian farmers Kisaan majdoor ekta zindabaad #FarmersProtest #StopHateAgainstFarmers https://t.co/AHDxnLaIn2,0.00129,0.0,5e-05,0.00049,0.00021,3e-05,2e-05
@ChannSingh083 @jot_sohal4 @navneetkaursoh3 @monajathoul @Gurpreet_pb02_ @John_Wick_pb65 @__SaNDhU_saab @Harpree18078555 @Tractor2twitr @sohi45554321 True ji  #StopHateAgainstFarmers #FarmersProtest,0.00184,0.0,0.00024,0.00018,0.00033,4e-05,5e-05
"Interestingly, and perhaps not altogether surprisingly, there are some people who disregard the ones who feed them. Instead they are busy defending the oppressors—the scammers who are after everyone’s food. #StopHateAgainstFarmers #FarmersProtest https://t.co/bvEMLfmQaS",0.22496,1e-05,0.00097,0.00236,0.20176,0.00014,0.00016
Had your meal 🥗 🍛 ? Thank a farmer.   Speak up against oppression of FARMERS in India  #FarmersProtest   03:14:09,0.00088,0.0,7e-05,0.00014,0.00017,3e-05,2e-05
"If we don't get protein, our body will die If the soil is not fertile, there is no crop If the farmer does not get the value of the crop, the farmer does not survive #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/G637jsRa2C",0.00664,1e-05,0.00015,0.00037,0.00037,0.00241,5e-05
@dil_di_awaz True #StopHateAgainstFarmers #FarmersProtest,0.00135,0.0,7e-05,0.00015,0.00024,3e-05,2e-05
Sikhexpo on instagram posting in support of violence against Hindus in Bangladesh #sikh #farmersprotest #bangladesh #hinduphobia dhakatribune.com/bangladesh/nat… https://t.co/xrudJGivi1,0.00356,0.0,5e-05,0.00152,0.00039,0.00012,2e-05
That is not fair because the loser govt we chose is biased towards those losers  #StopHateAgainstFarmers #FarmersProtest twitter.com/jassbhullarpb/…,0.83966,1e-05,0.00041,0.00049,0.80589,7e-05,7e-05
"No government wants their citizens to be well informed, for when the citizens r well informed and start thinking for themselves, governments will have nothing to do #StopHateAgainstFarmers  #FarmersProtest",0.00111,0.0,3e-05,0.00015,0.00025,3e-05,1e-05
This is the Case... Crooked Corporates are always Left Free to EXPLOIT profitable Situations whereas Our Farmers.. the Beautiful Innocent Soul are HAMMERED/CRUSHED... THINK and STAND with FARMERS #StopHateAgainstFarmers #FarmersProtest https://t.co/zGhPiXZUJ3,0.01687,1e-05,0.00113,0.00074,0.00285,0.0003,0.00025
The problem of the farmers has not been solved till date. Modi is not ready to talk about farmers  #StopHateAgainstFarmers #FarmersProtest https://t.co/Aa34Bt2S1o,0.00073,0.0,4e-05,0.00012,0.00017,2e-05,2e-05
Today we need to save our Farmers from oppressions.. #FarmersProtest #StopHateAgainstFarmers https://t.co/k06BhRcYYg,0.00095,0.0,4e-05,0.00014,0.00018,3e-05,2e-05
The farmer has been struggling for 4 months. More than 300 were killed Then they sit quietly #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/RU3ZqvxnUC,0.00071,0.0,5e-05,0.00011,0.00014,4e-05,2e-05
"#ModiLies, #modisarkar his corrupt, repressive  regime  must be overthrown.  #FarmersProtest 🌾🚜✊ #PMModi must stop 🛑 👇 #StopHateAgainstFarmers twitter.com/tractor2twitr/… https://t.co/ogLr6hF0A4",0.37312,4e-05,0.00396,0.00399,0.20463,0.00172,0.00054
#StopHateAgainstFarmers seeing their courage doubles our courage We are confident that we will win this war ...... #FarmersProtest https://t.co/WoelFeoY8g,0.00074,0.0,3e-05,0.0001,0.00017,3e-05,1e-05
We can fight hatred with love #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/mIRAhPoHy5,0.0026,0.0,7e-05,0.00042,0.00027,0.00013,3e-05
"After so much hate and facing oppressions , peace and love still only exists in the hearts our Farmers. #FarmersProtest #StopHateAgainstFarmers https://t.co/idyovRRhKZ",0.0016,0.0,4e-05,0.00022,0.00026,5e-05,2e-05
#StopHateAgainstFarmers we are citizen of India stop treating us like enemies. No Farmer No Food. #FarmersProtest https://t.co/3oQuYZS32V,0.00628,0.0,0.0001,0.00099,0.00078,0.0001,4e-05
Andhbhakts answer awaited!!  #GoBackModi  #मोदी_झूठा_है  #LieLikeModi  #NoVoteTo_LiarModi  #FarmersProtest twitter.com/Saimanrajs/sta…,0.00085,0.0,9e-05,0.00011,0.00015,3e-05,3e-05
@sandhu94717 Stop Lying about Farmers✊ Stop Insulting Farmers✊ Stop Labelling them as Térrórist✊ #FarmersProtest #StopHateAgainstFarmers,0.0517,2e-05,0.00228,0.00238,0.006,0.00035,0.00046
"In a country where the government hates farmers, there can be no democracy #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/8MhYx9drTY",0.01621,0.0,0.00015,0.00286,0.00235,0.0002,4e-05
How different is this from #BlackLivesMatter these people are marginal farmers trying to protect their rights #FarmersProtest #humanrights4indianfarmers @DahgMahn @AlmeidaJugnu @SSsandhu1 @Morning_Ag @KristinAtPAN @MargaretatPAN @EmilyAtPA @GrassrootsIntl @GRAIN_org https://t.co/PswM36DsjR,0.09147,2e-05,0.00078,0.01799,0.03412,0.00019,0.00018
@jimsciutto @Mets Did you talk about the #FarmersProtest??,0.00068,0.0,5e-05,7e-05,0.00016,2e-05,2e-05
Well said  #StopHateAgainstFarmers #FarmersProtest twitter.com/drkhinda2/stat…,0.00078,0.0,4e-05,0.0001,0.00019,2e-05,1e-05
@HansrajMeena The hate exists because Modi wants to make easy money by selling farmers to corporate goons. And to do this he has thrown the Sikh vs. Hindu virus in the mixture to DISTRACT people from focusing on the real shit he is trying to pull.  #StopHateAgainstFarmers #FarmersProtest,0.87605,0.00261,0.73333,0.0167,0.45308,0.00045,0.00156
A system is corrupt when it is strictly profit driven and not driven to serve the best interests of its people  #StopHateAgainstFarmers  #FarmersProtest,0.02722,0.0,0.00036,0.00038,0.01131,6e-05,0.00011
Farming is not a Job Its a way of life #FarmersProtest #StopHateAgainstFarmers https://t.co/vlKLr5ImEf,0.00135,0.0,7e-05,0.00013,0.00025,4e-05,3e-05
Farming is not just a job.. it's a way of life #FarmersProtest https://t.co/8Jc63Xu4eT,0.00136,0.0,8e-05,0.00012,0.00023,5e-05,4e-05
"The country is changing in Sahib's speeches,But in reality the country is being sold! #Desh_Ka_Gaddar_RSS Traitor will always be a traitor #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/rH4bS8nenB",0.14085,1e-05,0.00127,0.0009,0.10719,6e-05,0.00014
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #FarmersProtest   #StopAsianHate #StopAAPIHate  https://t.co/OIbbCw40ff,0.00322,0.0,0.00013,0.00066,0.00052,9e-05,5e-05
Go back modi #FarmersProtest  #StopHateAgainstFarmers twitter.com/SatishBalsaman…,0.00566,1e-05,0.00042,0.00032,0.00037,0.00012,0.0001
@PMOIndia Yes summers are approaching. Care to look at farmers living on roads protesting for their rights since last 4 months? Even more worse that you've blocked roads and easy access to sanitation facilities. Pls #StopHateAgainstFarmers  #FarmersProtest,0.00063,0.0,3e-05,0.0001,0.00015,2e-05,1e-05
Khalsa means pure #FarmersProtest  #StopHateAgainstFarmers twitter.com/JattJunction/s…,0.00059,0.0,4e-05,9e-05,0.00014,2e-05,1e-05
The same old Thinking ➡️The same old results  A drastic change is required in politic.   @PrabhGillMusic  #StopHateAgainstFarmers #FarmersProtest twitter.com/PrabhGillMusic…,0.00065,0.0,3e-05,9e-05,0.00016,2e-05,1e-05
"While you try to sleep peacefully on your bed, do think about our farmers who are sleeping on the roads!  #StopHateAgainstFarmers #FarmersProtest https://t.co/ecVWi4eTyg",0.00163,0.0,7e-05,0.00019,0.00032,5e-05,3e-05
Farmers work day in day out so that the world🌏can feed. They deserve much respect.  #StopHateAgainstFarmers #FarmersProtest https://t.co/qizweT0mzE,0.00075,0.0,4e-05,0.00012,0.00015,3e-05,2e-05
Stop creating nuisance against innocent people. Bjp ‘s NIA is harassing innocent people . Disgusting 😡🤬 bjp and rss  #FarmersProtest  #StopHateAgainstFarmers twitter.com/papalpreetsing…,0.59968,3e-05,0.00441,0.0033,0.45277,0.00016,0.00042
"Stop judging farmers.  Stop calling them names.  Stop labelling them as Terrorists, Anti-nationalists, Maoists.   Feel the pain they’re going through or just ST*U otherwise!   #StopHateAgainstFarmers  #FarmersProtest",0.50819,0.00026,0.07033,0.01571,0.19105,0.00173,0.00321
"The rapists and criminals are sitting in Parliament. And our farmer was considered a terrorist.They do not need sympathy, they are entitled to respect. It is the most peace-loving and longest-running protest in India. #FarmersProtest #Farmers #StopHateAgainstFarmers",0.3491,2e-05,0.0009,0.0037,0.20591,0.00062,0.00117
@realhimanshi #supportfarmers #backblackbill #farmersprotest we are with farmers.,0.00905,1e-05,0.00023,0.00224,0.00176,9e-05,7e-05
Just another lie by BJP Government and their Chokidar and spread by Godi Media!! @Tractor2twitr  #StopHateAgainstFarmers #FarmersProtest twitter.com/tractor2twitr/…,0.02241,0.0,0.00043,0.00036,0.0098,6e-05,7e-05
"I Stand With Farmers,,,,,,,,,,,,,  #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/DwJx8Qkcmi",0.00051,0.0,5e-05,9e-05,0.00011,2e-05,2e-05
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #FarmersProtest https://t.co/sTLa0HTBWc,0.00239,0.0,0.00012,0.00039,0.00043,7e-05,4e-05
Farmer have suffered ?   Why should they vote 🗳  for you ?  #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/jETqzGYLwY,0.00068,0.0,5e-05,9e-05,0.00015,2e-05,2e-05
FARMERS ATTENTION! Do Log in! @Vikramj46744401 @Navneet_Tweets_ @kaur_sawera @Jindkaur11 @navneetkaursoh3 @navneet29378806 @SSsandhu1 @rumpannu @rupikaur_ @rinky26 #MahaPanchayatRevolution #FarmersProtest twitter.com/iamgdhillon/st…,0.0027,0.0,0.00028,0.00019,0.00043,5e-05,5e-05
Repeal 3 laws Ensure MSP for all farmers  Stop name calling of farmers   #StopHateAgainstFarmers  #FarmersProtest twitter.com/Kisanektamorch…,0.00104,0.0,5e-05,0.00015,0.00024,3e-05,2e-05
youtu.be/ey_aCNzis8E Just listen one time plz 👆👆 @indijaswaloye  @ravishndtv  #FarmersProtest,0.00215,0.0,0.00028,0.00015,0.00031,5e-05,6e-05
More than 4 months.. Faced extreme weather conditions.. Witnessed 300+ deaths..  Please don't fall for the false propaganda made by anyone..  #StopHateAgainstFarmers #FarmersProtest https://t.co/ZDH8iXSfOA,0.00073,0.0,3e-05,0.0001,0.00017,2e-05,1e-05
Treat farmers with dignity. Don't treat them as enemies.  #FarmersProtest #StopHateAgainstFarmers https://t.co/DtYfshGoL8,0.01927,1e-05,0.00016,0.00211,0.00203,0.00101,7e-05
@MahuaMoitra #WestBengal #bengal ppl need wake up and stay against antinational RSS bjp. and #WestBengal &amp; #nandigram ppl should forget their own personal issues.  #FarmersProtest  #StopHateAgainstFarmers https://t.co/B0X9u1ZkJ1,0.00402,0.0,0.00017,0.00037,0.00073,8e-05,5e-05
Farmers being met with violence and hatred since the beginning of #FarmersProtest and they are the ones who deserve the most respect for being the Anndatas #StopHateAgainstFarmers @NavJammu @AhluwaliaA2 @Jaswind42704842 @Sachin88617922 @BinduGhuman @Farmers48334430 @ravdeepkaura https://t.co/7gvN7g0vts,0.01077,1e-05,0.00019,0.00123,0.00108,0.00037,8e-05
